"empty_slots","extra__number","extra__reviews","extra__score","extra__status","extra__uid","free_bikes","id","latitude","longitude","name","timestamp"
"0","10","5","2.5","offline","1185","0","8d5cc1c49d81c66760c500a922d80b5c","45.09064418309555","7.570132452917505","10. Europa Unita","2022-04-06T10:55:14.903000Z"
"3","99","390","4.1","online","349","11","f8e8e458ac9f1f04ad3c774effe5ae54","45.069556","7.705674","Regina Margherita 1","2022-04-06T10:55:14.843000Z"
"3","101","730","4.1","online","351","12","a094649e150f7b7636259ca8a183848d","45.074874","7.70223","Dora Siena 1","2022-04-06T10:55:14.843000Z"
"1","100","583","4.3","online","350","12","1916e772eb3e6c88b37a0f584da1e333","45.073583","7.692797","Regina Margherita 3","2022-04-06T10:55:14.843000Z"
"8","119","108","4.2","online","888","6","94fb494abcb6323bee9726f8b2950ff4","45.08707","7.669196","Livorno 2","2022-04-06T10:55:14.843000Z"
"9","137","24","3.7","online","1237","6","5b6291a3e07d71724308661df3510846","45.07584019356755","7.6439435276126915","Rivoli","2022-04-06T10:55:14.843000Z"
"6","164","11","4.2","online","1262","11","986c0bdf4fc323565f464bb237b71601","45.077852416035995","7.665994763374329","Cibrario","2022-04-06T10:55:14.843000Z"
"9","152","24","3.6","online","1250","9","dcf9a53a6a783a1e75ae6376dd162604","45.04716763451317","7.646727898182235","Santa Rita","2022-04-06T10:55:14.843000Z"
"4","124","80","2.0","online","1228","11","d57f77196851a248f892519c64cd3738","45.031282","7.666638","Lingotto Fiere","2022-04-06T10:55:14.843000Z"
"15","188","18","3.3","online","1286","1","a9d8fee05ef8bd2da4139f349f971fb5","45.051941","7.674535","Piazza Nizza","2022-04-06T10:55:14.843000Z"
"2","81","1406","4.1","online","331","12","b43271bb186d10877c29e96d86e7aff3","45.05943","7.670561","Re Umberto","2022-04-06T10:55:14.843000Z"
"11","156","293","0.8","online","1254","9","b963a768b7bf0d83fbdc79ca5120f883","45.066087867947004","7.645260159524469","Peschiera","2022-04-06T10:55:14.843000Z"
"1","157","49","4.3","online","1255","8","f774b352bfa54c8031388c9d35a3e3e7","45.07048048014438","7.647057488959149","Moretta","2022-04-06T10:55:14.843000Z"
"13","82","673","4.0","online","332","2","ebaf3909a7b4d4db160e393e6f8621fd","45.056012","7.668118","Re Umberto 2","2022-04-06T10:55:14.843000Z"
"7","93","538","4.1","online","343","5","c91f8184077b22c31dff9c0ea96184dd","45.07235","7.697286","Regina Margherita 2","2022-04-06T10:55:14.843000Z"
"2","98","224","4.1","online","348","10","93d1d41761adc26f853a3d82987f0d57","45.067323","7.696805","Giulia di Barolo","2022-04-06T10:55:14.843000Z"
"6","53","855","4.4","online","302","13","b9fd9c3f44f3344f9134a954498d5225","45.056855","7.676632","Nizza 1","2022-04-06T10:55:14.842000Z"
"10","86","331","2.7","online","336","2","d5d84b0de5b967198d467baeb5b02c65","45.064101","7.659946","Politecnico 4","2022-04-06T10:55:14.843000Z"
"2","107","158","3.2","online","357","12","9a1ff6add93143ae371db6244ac33e9d","45.061593","7.682342","Vittorio Emanuele II 4","2022-04-06T10:55:14.843000Z"
"0","111","412","4.2","maintenance","361","0","5ce4d449d03c24bd7a1d2baea2630228","45.048042","7.66374","Turati","2022-04-06T10:55:14.843000Z"
"10","112","648","4.4","online","362","7","b5a8b6b959f78754cb9be3da9ac79def","45.042579","7.670913","Carducci","2022-04-06T10:55:14.843000Z"
"0","194","1","1.0","maintenance","989","0","004bff4fc3c11ceaf4fcb6280340c54c","45.0293578","7.618955","Settembrini","2022-04-06T10:55:14.843000Z"
"7","136","1","1.0","online","1236","6","734f48af26ccb148a0a23522d469dedf","45.0355007","7.626104899999","Cattaneo","2022-04-06T10:55:14.843000Z"
"10","132","23","2.8","online","1233","7","d9dedede707c18828663426aa3fae4d3","45.043099","7.655127","Galileo Ferraris 6","2022-04-06T10:55:14.843000Z"
"0","134","1","1.0","under construction","1234","0","822b66c65b98e5389c5ddce1faac2f1a","45.0683127","7.6384095999999","Trapani","2022-04-06T10:55:14.843000Z"
"7","155","1","1.0","online","1253","8","45b04dd1adfb95fdd38e2761fa9c7675","45.060014999999","7.6510140999999","Braccini","2022-04-06T10:55:14.843000Z"
"8","162","1","1.0","online","1260","7","003dd4825b177c3581eef42d6ffa41a9","45.083028","7.6503883","Lessona","2022-04-06T10:55:14.843000Z"
